Variable,Description,Wave,Educational Dimension,Missing %,Leakage,Relationship with Target,Final Decision,Justification
S2REVIEWM12,"What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Business, Consumer, General, Applied, Technical, Functional, or Review math 0=No 1=Yes",S2 - First follow-up student survey item (2012),Academic performance,25.84,Low,Weak (Cramer's V=0.065),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.065) (supporting evidence only, not decisive)"
S2INTGM312,What math course or courses [are you currently taking/were you taking during the spring term of 2012]? Integrated Math III or above 0=No 1=Yes,S2 - First follow-up student survey item (2012),Academic performance,25.84,Low,Weak (Cramer's V=0.055),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.055) (supporting evidence only, not decisive)"
S2MPARREC,Why [are/were] you taking [math course title] ? Would you say you [are/were] taking it because... your parents encouraged you to take it? 1=Yes 0=No,S2 - First follow-up student survey item (2012),Academic performance,26.47,Low,Weak (Cramer's V=0.078),Include,"Statistical association with target: Weak (Cramer's V=0.078) (supporting evidence only, not decisive)"
X2SES3,"This variable contains the imputed value (3 of 5) for X2SES, generated through a multiple imputation model, for responding students without a responding parent/guardian. X2SES is the mean of X2SES1-X2SES5. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 2.3663 -0.8089 2.6307","X2 - First follow-up (Spring 2012, 11th grade)",Demographic or socioeconomic controls,,Low,Weak (Eta-sq=0.016),Include,"Statistical association with target: Weak (Eta-sq=0.016) (supporting evidence only, not decisive)"
X2SES2,"This variable contains the imputed value (2 of 5) for X2SES, generated through a multiple imputation model, for responding students without a responding parent/guardian. X2SES is the mean of X2SES1-X2SES5. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 2.4508 -0.8098 2.6306","X2 - First follow-up (Spring 2012, 11th grade)",Demographic or socioeconomic controls,,Low,Weak (Eta-sq=0.015),Include,"Statistical association with target: Weak (Eta-sq=0.015) (supporting evidence only, not decisive)"
X2SES1,"This variable contains the imputed value (1 of 5) for X2SES, generated through a multiple imputation model, for responding students without a responding parent/guardian. X2SES is the mean of X2SES1-X2SES5. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 2.5097 -0.8077 2.6294","X2 - First follow-up (Spring 2012, 11th grade)",Demographic or socioeconomic controls,,Low,Weak (Eta-sq=0.016),Include,"Statistical association with target: Weak (Eta-sq=0.016) (supporting evidence only, not decisive)"
X2TXMTH5,"Mathematics theta score multiple imputation value (5 of 5). When the math test data were missing for student survey respondents, the math theta score was imputed with multiple imputation technique, with 5 imputed values. X2TXMTH is the mean of X2TXMTH1-5. The theta score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated scale score which represents status with respect to achievement on a particular criterion set of test items). The associated theta score is X2TXMTH. The standardized form of the theta score is X2TXMTSCOR. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 4.5046 -0.3611 3.0739","X2 - First follow-up (Spring 2012, 11th grade)",Academic performance,,Low,Weak (Eta-sq=0.046),Include,"Statistical association with target: Weak (Eta-sq=0.046) (supporting evidence only, not decisive)"
X2TXMTH4,"Mathematics theta score multiple imputation value (4 of 5). When the math test data were missing for student survey respondents, the math theta score was imputed with multiple imputation technique, with 5 imputed values. X2TXMTH is the mean of X2TXMTH1-5. The theta score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated scale score which represents status with respect to achievement on a particular criterion set of test items). The associated theta score is X2TXMTH. The standardized form of the theta score is X2TXMTSCOR. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 4.7052 -0.3624 3.0745","X2 - First follow-up (Spring 2012, 11th grade)",Academic performance,,Low,Weak (Eta-sq=0.046),Include,"Statistical association with target: Weak (Eta-sq=0.046) (supporting evidence only, not decisive)"
X2TXMTH3,"Mathematics theta score multiple imputation value (3 of 5). When the math test data were missing for student survey respondents, the math theta score was imputed with multiple imputation technique, with 5 imputed values. X2TXMTH is the mean of X2TXMTH1-5. The theta score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated scale score which represents status with respect to achievement on a particular criterion set of test items). The associated theta score is X2TXMTH. The standardized form of the theta score is X2TXMTSCOR. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 4.5046 -0.3644 3.0731","X2 - First follow-up (Spring 2012, 11th grade)",Academic performance,,Low,Weak (Eta-sq=0.046),Include,"Statistical association with target: Weak (Eta-sq=0.046) (supporting evidence only, not decisive)"
X2TXMTH2,"Mathematics theta score multiple imputation value (2 of 5). When the math test data were missing for student survey respondents, the math theta score was imputed with multiple imputation technique, with 5 imputed values. X2TXMTH is the mean of X2TXMTH1-5. The theta score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated scale score which represents status with respect to achievement on a particular criterion set of test items). The associated theta score is X2TXMTH. The standardized form of the theta score is X2TXMTSCOR. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 4.7769 -0.3612 3.0735","X2 - First follow-up (Spring 2012, 11th grade)",Academic performance,,Low,Weak (Eta-sq=0.046),Include,"Statistical association with target: Weak (Eta-sq=0.046) (supporting evidence only, not decisive)"
X1TXMQUINT,"The math quintile score is a norm-referenced measure of achievement. The quintile score divides the weighted (population estimate) achievement distributions into five equal groups, based on math score (X1TXMTSCOR). Quintile 1 corresponds to the lowest-achieving one-fifth of the population, quintile 5 the highest. To determine the quintile cut-points, the weighted distribution of the standardized scores was divided at the 20th, 40th, 60th, and 80th percentiles. Cut points were matched to unrounded standardized scores. See Chapter 2 of the HSLS:09 Base-Year Data File Documentation (NCES 2011-328) for more information on the derivation of the math quintile score.","X1 - Base year (Fall 2009, 9th grade)",Academic performance,8.76,Low,Weak (Cramer's V=0.136),Include,"Statistical association with target: Weak (Cramer's V=0.136) (supporting evidence only, not decisive)"
P1MUSEUM,"During the last 12 months, which of the following activities have you or another family member done with [your 9th-grader]? (Check all that apply.) Visited a zoo, planetarium, natural history museum, transportation museum, or a similar museum Worked or played on a computer together Built or fixed something such as a vehicle or appliance Attended a school science fair Helped [your 9th-grader] with a school science fair project Discussed a program or article about math, science, or technology Visited a library Gone to a play, concert, or other live show None of these",P1 - Base year parent survey (2009),Academic performance,34.27,Low,Weak (Cramer's V=0.056),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.056) (supporting evidence only, not decisive)"
P1NOOUTSCH,"During the last 12 months, has [your 9th-grader] participated in any of the following activities outside of school? (Check all that apply.) Music, dance, art, or theater Organized sports supervised by an adult Religious youth group or religious instruction Scouting or another group or club activity Academic instruction outside of school such as from a Saturday Academy, learning center, personal tutor or summer school program A math or science camp Another camp None of these",P1 - Base year parent survey (2009),Academic performance,34.61,Low,Weak (Cramer's V=0.056),Include,"Statistical association with target: Weak (Cramer's V=0.056) (supporting evidence only, not decisive)"
S2SFRIEND,Why [are/were] you taking [science course title] ? Would you say you [are/were] taking it because... your friends were taking it? 1=Yes 0=No,S2 - First follow-up student survey item (2012),Academic performance,33.86,Low,Weak (Cramer's V=0.072),Include,"Statistical association with target: Weak (Cramer's V=0.072) (supporting evidence only, not decisive)"
P1CAMPMS,"During the last 12 months, has [your 9th-grader] participated in any of the following activities outside of school? (Check all that apply.) Music, dance, art, or theater Organized sports supervised by an adult Religious youth group or religious instruction Scouting or another group or club activity Academic instruction outside of school such as from a Saturday Academy, learning center, personal tutor or summer school program A math or science camp Another camp None of these",P1 - Base year parent survey (2009),Academic performance,34.61,Low,Weak (Cramer's V=0.060),Include,"Statistical association with target: Weak (Cramer's V=0.060) (supporting evidence only, not decisive)"
P1SPORTS,"During the last 12 months, has [your 9th-grader] participated in any of the following activities outside of school? (Check all that apply.) Music, dance, art, or theater Organized sports supervised by an adult Religious youth group or religious instruction Scouting or another group or club activity Academic instruction outside of school such as from a Saturday Academy, learning center, personal tutor or summer school program A math or science camp Another camp None of these",P1 - Base year parent survey (2009),Academic performance,34.61,Low,Weak (Cramer's V=0.081),Include,"Statistical association with target: Weak (Cramer's V=0.081) (supporting evidence only, not decisive)"
P1ARTS,"During the last 12 months, has [your 9th-grader] participated in any of the following activities outside of school? (Check all that apply.) Music, dance, art, or theater Organized sports supervised by an adult Religious youth group or religious instruction Scouting or another group or club activity Academic instruction outside of school such as from a Saturday Academy, learning center, personal tutor or summer school program A math or science camp Another camp None of these",P1 - Base year parent survey (2009),Academic performance,34.61,Low,Weak (Cramer's V=0.091),Include,"Statistical association with target: Weak (Cramer's V=0.091) (supporting evidence only, not decisive)"
P1SCIHWEFF,How confident do you feel about your ability to help [your 9th-grader] with the homework [he/she] has this year in each of the following subjects? Science Very confident Somewhat confident Not at all confident,P1 - Base year parent survey (2009),Academic performance,33.5,Low,Weak (Cramer's V=0.051),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.051) (supporting evidence only, not decisive)"
P1VOLUNTEER,"Since the beginning of this school year (2009-2010), have you or other adults in your household... served as a volunteer in [your 9th-grader]'s classroom or elsewhere in the school? Yes No",P1 - Base year parent survey (2009),Academic performance,33.97,Low,Weak (Cramer's V=0.056),Include,"Statistical association with target: Weak (Cramer's V=0.056) (supporting evidence only, not decisive)"
P1SCHEVENT,"Since the beginning of this school year (2009-2010), have you or other adults in your household... attended a school or class event such as a play, dance, sports event or science fair because of [your 9th-grader]? Yes No",P1 - Base year parent survey (2009),Academic performance,33.98,Low,Weak (Cramer's V=0.061),Include,"Statistical association with target: Weak (Cramer's V=0.061) (supporting evidence only, not decisive)"
P1PERFORM,"During the last school year (2008-2009), how many times were you or another family member contacted by the school about [your 9th-grader]'s� poor academic performance? Never Once or twice Three or four times More than four times",P1 - Base year parent survey (2009),Academic performance,34.18,Low,Weak (Cramer's V=0.077),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.077) (supporting evidence only, not decisive)"
P1BEHAVE,"During the last school year (2008-2009), how many times were you or another family member contacted by the school about [your 9th-grader]'s� problem behavior in school? Never Once or twice Three or four times More than four times",P1 - Base year parent survey (2009),Academic performance,33.93,Low,Weak (Cramer's V=0.063),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.063) (supporting evidence only, not decisive)"
P1SUSPEND,"Since starting kindergarten, has [he/she] ever been suspended or expelled from school? Do not count detentions. Yes No",P1 - Base year parent survey (2009),Academic performance,32.89,Low,Weak (Cramer's V=0.065),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.065) (supporting evidence only, not decisive)"
P1HONORS,Is [your 9th-grader] currently enrolled in any honors classes? Yes No,P1 - Base year parent survey (2009),Academic performance,34.41,Low,Weak (Cramer's V=0.126),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.126) (supporting evidence only, not decisive)"
P1MOOD,"Compared with other 9th graders, would you say [your 9th-grader] experiences a lot, a little, or no difficulty in the following areas? Feeling anxious or depressed A lot of difficulty A little difficulty No difficulty",P1 - Base year parent survey (2009),Academic performance,34.11,Low,Weak (Cramer's V=0.059),Include,"Statistical association with target: Weak (Cramer's V=0.059) (supporting evidence only, not decisive)"
P1CAMPOTH,"During the last 12 months, has [your 9th-grader] participated in any of the following activities outside of school? (Check all that apply.) Music, dance, art, or theater Organized sports supervised by an adult Religious youth group or religious instruction Scouting or another group or club activity Academic instruction outside of school such as from a Saturday Academy, learning center, personal tutor or summer school program A math or science camp Another camp None of these",P1 - Base year parent survey (2009),Academic performance,34.61,Low,Weak (Cramer's V=0.055),Include,"Statistical association with target: Weak (Cramer's V=0.055) (supporting evidence only, not decisive)"
X1SCIID,"This variable is a scale of the sample member's science identity. Sample members who tend to agree with the statements ""You see yourself as a science person"" and/or ""Others see me as a science person"" will have higher values for X1SCIID. Variable was created through principal components factor analysis (weighted by W1STUDENT) and standardized to a mean of 0 and standard deviation of 1. The inputs to this scale were S1SPERSON1 and S1SPERSON2. Only respondents who provided a full set of responses were assigned a scale value. The coefficient of reliability (alpha) for the scale is .65 or higher. For more information on this scale score, please see chapter 5 of the Base-Year Data File Documentation (NCES 2011-328). Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -9.00 2.15 -0.79 2.66","X1 - Base year (Fall 2009, 9th grade)",Skills and self-efficacy,,Low,Weak (Eta-sq=0.011),Include,"Matched >1 dimension keyword set (assigned to Skills and self-efficacy by priority order) -- verify against Description; Statistical association with target: Weak (Eta-sq=0.011) (supporting evidence only, not decisive)"
X1MTHID,"This variable is a scale of the sample member's math identity. Sample members who tend to agree with the statements ""You see yourself as a math person"" and/or ""Others see me as a math person"" will have higher values for X1MTHID. This variable was created through principal components factor analysis (weighted by W1STUDENT) and standardized to a mean of 0 and standard deviation of 1. The inputs to this scale were S1MPERSON1 and S1MPERSON2. Only respondents who provided a full set of responses were assigned a scale value. The coefficient of reliability (alpha) for the scale is .65 or higher. For more information on this scale score, please see chapter 5 of the Base-Year Data File Documentation (NCES 2011-328). Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -9.00 1.76 -0.78 2.63","X1 - Base year (Fall 2009, 9th grade)",Skills and self-efficacy,,Low,Weak (Eta-sq=0.011),Include,"Matched >1 dimension keyword set (assigned to Skills and self-efficacy by priority order) -- verify against Description; Statistical association with target: Weak (Eta-sq=0.011) (supporting evidence only, not decisive)"
X1SESQ5_U,"This variable is the quintile of X1SES_U, weighted using the student weight (W1STUDENT). For more information on this variable, please refer to section 7.3.2.2 of the HSLS:09 Base-Year Data File Documentation (NCES 2011-328).","X1 - Base year (Fall 2009, 9th grade)",Demographic or socioeconomic controls,8.76,Low,Weak (Cramer's V=0.096),Include,"Statistical association with target: Weak (Cramer's V=0.096) (supporting evidence only, not decisive)"
X1SESQ5,"This variable is the quintile of X1SES, weighted using the student weight (W1STUDENT). For more information on this variable, please refer to section 7.3.2.2 of the HSLS:09 Base-Year Data File Documentation (NCES 2011-328).","X1 - Base year (Fall 2009, 9th grade)",Demographic or socioeconomic controls,8.76,Low,Weak (Cramer's V=0.099),Include,"Statistical association with target: Weak (Cramer's V=0.099) (supporting evidence only, not decisive)"
X1POVERTY185,"X1POVERTY185 indicates whether the sample member's family was at/above or below 185% of the 2008 poverty threshold, as set forth by the U.S. Census Bureau. Both family income and household size are considered when calculating whether a family is at/above or below 185% of the poverty threshold. If X1FAMINCOME or X1HHNUMBER are imputed, then the imputation flag for the poverty variables (X1POVERTY_IM) is set to 1. See https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html for further detail on 2008 poverty thresholds.","X1 - Base year (Fall 2009, 9th grade)",Demographic or socioeconomic controls,28.8,Low,Weak (Cramer's V=0.078),Include,"Statistical association with target: Weak (Cramer's V=0.078) (supporting evidence only, not decisive)"
X1POVERTY130,"X1POVERTY130 indicates whether the sample member's family was at/above or below 130% of the 2008 poverty threshold, as set forth by the U.S. Census Bureau. Both family income and household size are considered when calculating whether a family is at/above or below 130% of the poverty threshold. If X1FAMINCOME or X1HHNUMBER are imputed, then the imputation flag for the poverty variables (X1POVERTY_IM) is set to 1. See https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html for further detail on 2008 poverty thresholds.","X1 - Base year (Fall 2009, 9th grade)",Demographic or socioeconomic controls,28.8,Low,Weak (Cramer's V=0.063),Include,"Statistical association with target: Weak (Cramer's V=0.063) (supporting evidence only, not decisive)"
X1POVERTY,"X1POVERTY indicates whether the sample member's family was at/above or below the 2008 poverty threshold, as set forth by the U.S. Census Bureau. Both family income and household size are considered when calculating whether a family is at/above or below the poverty threshold. If X1FAMINCOME or X1HHNUMBER are imputed, then the imputation flag for the poverty variables (X1POVERTY_IM) is set to 1. See https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html for further detail on 2008 poverty thresholds.","X1 - Base year (Fall 2009, 9th grade)",Demographic or socioeconomic controls,28.8,Low,Weak (Cramer's V=0.056),Include,"Statistical association with target: Weak (Cramer's V=0.056) (supporting evidence only, not decisive)"
X1FAMINCOME,"X1FAMINCOME is a categorical variable which indicates the sample member's family income from all sources in 2008, as reported by the parent questionnaire respondent. If missing from the parent questionnaire, X1FAMINCOME is statistically imputed (imputed values in X1FAMINCOME can be identified by using X1FAMINC_IM).","X1 - Base year (Fall 2009, 9th grade)",Demographic or socioeconomic controls,28.69,Low,Weak (Cramer's V=0.051),Include,"Statistical association with target: Weak (Cramer's V=0.051) (supporting evidence only, not decisive)"
X1DADRACE,"For sample members who have a biological, adoptive, or step father living in their household, X1DADRACE characterizes the race/ethnicity of that biological, adoptive, or step father. X1DADRACE is derived from four composite variables (X1P1RELATION, X1P2RELATION, X1PAR1RACE, and X1PAR2RACE). ""Amer. Indian/Alaska Native, non-Hispanic"" and ""Native Hawaiian/Pacific Islander, non-Hispanic"" recoded as ""Other, non-Hispanic"" on the public use file.","X1 - Base year (Fall 2009, 9th grade)",Demographic or socioeconomic controls,31.2,Low,Weak (Cramer's V=0.066),Include,"Statistical association with target: Weak (Cramer's V=0.066) (supporting evidence only, not decisive)"
X1DADREL,"Indicates whether or not there is a biological, adoptive, or step father in the sample member's household. X1DADREL is derived from two composite variables (X1P1RELATION and X1P2RELATION) which contain imputed values; if either of these two input variables is imputed and the presence of a father in the household could not be determined from unimputed data, then the imputation flag for X1DADREL (X1DADREL_IM) is set to 1.","X1 - Base year (Fall 2009, 9th grade)",Academic performance,28.57,Low,Weak (Cramer's V=0.067),Include,"Statistical association with target: Weak (Cramer's V=0.067) (supporting evidence only, not decisive)"
X2SES4,"This variable contains the imputed value (4 of 5) for X2SES, generated through a multiple imputation model, for responding students without a responding parent/guardian. X2SES is the mean of X2SES1-X2SES5. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 2.8154 -0.8022 2.6326","X2 - First follow-up (Spring 2012, 11th grade)",Demographic or socioeconomic controls,,Low,Weak (Eta-sq=0.016),Include,"Statistical association with target: Weak (Eta-sq=0.016) (supporting evidence only, not decisive)"
X1PAR2RACE,"Characterizes the race/ethnicity of ""parent #2"", as reported by the parent questionnaire respondent; ""parent #2"" is the parent to whom all ""parent #2"" variables (e.g., X1P2RELATION, X1PAR2EMP, P1YRBORN2, P1USYR2, etc.) refer. X1PAR2RACE summarizes the following 6 dichotomous race/ethnicity variables drawn from the parent questionnaire: P1HISP2, P1WHITE2, P1BLACK2, P1ASIAN2, P1PACISLE2, and P1AMINDIAN2. ""Amer. Indian/Alaska Native, non-Hispanic"" and ""Native Hawaiian/Pacific Islander, non-Hispanic"" recoded as ""Other, non-Hispanic"" on the public use file.","X1 - Base year (Fall 2009, 9th grade)",Demographic or socioeconomic controls,46.64,Low,Weak (Cramer's V=0.066),Include,"Statistical association with target: Weak (Cramer's V=0.066) (supporting evidence only, not decisive)"
X1PAR2EDU,"Indicates the highest level of education achieved by ""parent #2""; ""parent #2"" is the parent to whom all ""parent #2"" variables (e.g., X1P2RELATION, X1PAR2EMP, P1YRBORN2, P1USYR2, etc.) refer. X1PAR2EDU is taken from the base year parent questionnaire; if missing from the base year parent questionnaire, X1PAR2EDU is statistically imputed for cases with a completed parent interview (imputed values in X1PAR2EDU can be identified using X1PAR2EDU_IM). ""Educational Specialist diploma"" recoded as ""Master's degree"" on the public use file.","X1 - Base year (Fall 2009, 9th grade)",Demographic or socioeconomic controls,43.99,Low,Weak (Cramer's V=0.078),Include,"Statistical association with target: Weak (Cramer's V=0.078) (supporting evidence only, not decisive)"
X1PAR1RACE,"Characterizes the race/ethnicity of ""parent #1"", as reported by the parent questionnaire respondent; ""parent #1"" is the parent to whom all ""parent #1"" variables (e.g. X1P1RELATION, X1PAR1EMP, P1YRBORN1, P1USYR1, etc.) refer. X1PAR1RACE summarizes the following 6 dichotomous race/ethnicity variables drawn from the parent questionnaire: P1HISP1, P1WHITE1, P1BLACK1, P1ASIAN1, P1PACISLE1, and P1AMINDIAN1. ""Amer. Indian/Alaska Native, non-Hispanic"" and ""Native Hawaiian/Pacific Islander, non-Hispanic"" recoded as ""Other, non-Hispanic"" on the public use file.","X1 - Base year (Fall 2009, 9th grade)",Demographic or socioeconomic controls,32.37,Low,Weak (Cramer's V=0.067),Include,"Statistical association with target: Weak (Cramer's V=0.067) (supporting evidence only, not decisive)"
X1SCIEFF,"This variable is a scale of the sample member's science self-efficacy; higher X1SCIEFF values represent higher science self-efficacy. Variable was created through principal components factor analysis (weighted by W1STUDENT) and standardized to a mean of 0 and standard deviation of 1. The inputs to this scale were S1STESTS, S1STEXTBOOK, S1SSKILLS, and S1SASSEXCL. Only respondents who provided a full set of responses were assigned a scale value. If the student indicated that he or she was not taking a fall science class, this variable is set to -7. The coefficient of reliability (alpha) for the scale is .65 or higher. For more information on this scale score, please see chapter 5 of the Base-Year Data File Documentation (NCES 2011-328). Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -9.00 1.83 -1.97 3.46","X1 - Base year (Fall 2009, 9th grade)",Skills and self-efficacy,,Low,Weak (Eta-sq=0.011),Include,"Matched >1 dimension keyword set (assigned to Skills and self-efficacy by priority order) -- verify against Description; Statistical association with target: Weak (Eta-sq=0.011) (supporting evidence only, not decisive)"
X2TXMTH1,"Mathematics theta score multiple imputation value (1 of 5). When the math test data were missing for student survey respondents, the math theta score was imputed with multiple imputation technique, with 5 imputed values. X2TXMTH is the mean of X2TXMTH1-5. The theta score provides a norm-referenced measurement of achievement, that is, an estimate of achievement relative to the population (fall 2009 9th graders) as a whole. It provides information on status compared to peers (as distinguished from the IRT-estimated scale score which represents status with respect to achievement on a particular criterion set of test items). The associated theta score is X2TXMTH. The standardized form of the theta score is X2TXMTSCOR. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 4.8399 -0.3625 3.0735","X2 - First follow-up (Spring 2012, 11th grade)",Academic performance,,Low,Weak (Eta-sq=0.046),Include,"Statistical association with target: Weak (Eta-sq=0.046) (supporting evidence only, not decisive)"
X2SES5_U,"This variable contains the imputed values (5 of 5) for X2SES_U, generated through a multiple imputation model, for responding students without a responding parent/guardian. X2SES_U is the mean of X2SES1_U-X2SES5_U. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 2.9504 -0.8122 2.6314","X2 - First follow-up (Spring 2012, 11th grade)",Demographic or socioeconomic controls,,Low,Weak (Eta-sq=0.016),Include,"Statistical association with target: Weak (Eta-sq=0.016) (supporting evidence only, not decisive)"
X2SES4_U,"This variable contains the imputed values (4 of 5) for X2SES_U, generated through a multiple imputation model, for responding students without a responding parent/guardian. X2SES_U is the mean of X2SES1_U-X2SES5_U. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 3.1045 -0.8185 2.6297","X2 - First follow-up (Spring 2012, 11th grade)",Demographic or socioeconomic controls,,Low,Weak (Eta-sq=0.016),Include,"Statistical association with target: Weak (Eta-sq=0.016) (supporting evidence only, not decisive)"
X2SES3_U,"This variable contains the imputed values (3 of 5) for X2SES_U, generated through a multiple imputation model, for responding students without a responding parent/guardian. X2SES_U is the mean of X2SES1_U-X2SES5_U. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 2.7097 -0.8073 2.6333","X2 - First follow-up (Spring 2012, 11th grade)",Demographic or socioeconomic controls,,Low,Weak (Eta-sq=0.016),Include,"Statistical association with target: Weak (Eta-sq=0.016) (supporting evidence only, not decisive)"
X2SES2_U,"This variable contains the imputed values (2 of 5) for X2SES_U, generated through a multiple imputation model, for responding students without a responding parent/guardian. X2SES_U is the mean of X2SES1_U-X2SES5_U. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 2.5175 -0.8126 2.6316","X2 - First follow-up (Spring 2012, 11th grade)",Demographic or socioeconomic controls,,Low,Weak (Eta-sq=0.015),Include,"Statistical association with target: Weak (Eta-sq=0.015) (supporting evidence only, not decisive)"
X2SES1_U,"This variable contains the imputed values (1 of 5) for X2SES_U, generated through a multiple imputation model, for responding students without a responding parent/guardian. X2SES_U is the mean of X2SES1_U-X2SES5_U. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 2.4426 -0.8210 2.6283","X2 - First follow-up (Spring 2012, 11th grade)",Demographic or socioeconomic controls,,Low,Weak (Eta-sq=0.016),Include,"Statistical association with target: Weak (Eta-sq=0.016) (supporting evidence only, not decisive)"
X2SES5,"This variable contains the imputed value (5 of 5) for X2SES, generated through a multiple imputation model, for responding students without a responding parent/guardian. X2SES is the mean of X2SES1-X2SES5. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 2.6340 -0.8052 2.6326","X2 - First follow-up (Spring 2012, 11th grade)",Demographic or socioeconomic controls,,Low,Weak (Eta-sq=0.016),Include,"Statistical association with target: Weak (Eta-sq=0.016) (supporting evidence only, not decisive)"
X1MOMRACE,"For sample members who have a biological, adoptive, or step mother living in their household, X1MOMRACE characterizes the race/ethnicity of that biological, adoptive, or step mother. X1MOMRACE is derived from four composite variables (X1P1RELATION, X1P2RELATION, X1PAR1RACE, and X1PAR2RACE). ""Amer. Indian/Alaska Native, non-Hispanic"" and ""Native Hawaiian/Pacific Islander, non-Hispanic"" recoded as ""Other, non-Hispanic"" on the public use file.","X1 - Base year (Fall 2009, 9th grade)",Demographic or socioeconomic controls,32.06,Low,Weak (Cramer's V=0.064),Include,"Statistical association with target: Weak (Cramer's V=0.064) (supporting evidence only, not decisive)"
S2SASSEXCL,How much do you agree or disagree with the following statements about [science course title/science]? [You [are/were] confident that you [can/could] do an excellent job on assignments in this course. /You are confident that you can do an excellent job on science assignments.] 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,S2 - First follow-up student survey item (2012),Academic performance,15.67,Low,Weak (Cramer's V=0.072),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.072) (supporting evidence only, not decisive)"
S2SBORING,How much do you agree or disagree with the following statements about [science course title/science]? [You [think/thought] this class [is/was] boring./You think science classes are boring.] 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,S2 - First follow-up student survey item (2012),Academic performance,15.45,Low,Weak (Cramer's V=0.074),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.074) (supporting evidence only, not decisive)"
